,ID,Name,Genre,Console,Rating,Global_Sales,VGChartz Score,Critic Score,Critic_Count,User Score,User_Count,Release Date
155,13107,Dead Space,Shooter,PS3,M,2.0,8.4,8.9,67.0,,545.0,13th Oct 08
156,23325,Dead Space,Shooter,X360,M,1.4,8.4,8.9,79.0,,768.0,13th Oct 08
157,24178,Diablo III,Role-Playing,PC,M,5.14,8.4,9.0,86.0,,9629.0,15th May 12
158,7693,Dragon Quest V: Hand of the Heavenly Bride,Role-Playing,DS,E10+,1.57,8.4,8.6,46.0,,57.0,17th Feb 09
159,6972,Gran Turismo 5 Prologue,Racing,PS3,E,4.19,8.4,8.3,67.0,,120.0,15th Apr 08
160,29077,Halo 3: ODST,Shooter,X360,M,6.34,8.4,8.7,94.0,,1163.0,22nd Sep 09
161,7715,Halo Wars,Strategy,X360,T,2.62,8.4,8.1,92.0,8.5,454.0,03rd Mar 09
162,1188,LocoRoco,Platform,PSP,E,0.38,8.0,8.1,67.0,,89.0,05th Sep 06
163,72061,Plants vs. Zombies,Misc,PC,E10+,0.05,8.4,,41.0,,891.0,05th May 09
164,34015,Plants vs. Zombies,Strategy,PC,E10+,0.05,8.4,9.0,41.0,,891.0,05th May 09
165,24825,Prince of Persia,Adventure,PS3,T,1.07,8.4,8.3,59.0,8.2,245.0,02nd Dec 08
166,24824,Prince of Persia,Adventure,X360,T,1.01,8.4,8.2,73.0,6.0,189.0,02nd Dec 08
167,29141,Prinny: Can I Really Be the Hero?,Platform,PSP,T,0.09,8.4,7.2,45.0,,41.0,17th Feb 09
168,7675,Resident Evil 5,Action,PS3,M,5.09,8.4,8.6,76.0,8.8,667.0,13th Mar 09
169,7676,Resident Evil 5,Action,X360,M,3.5,8.4,8.6,91.0,,523.0,13th Mar 09
170,34952,Band Hero,Misc,PS3,E10+,0.74,8.3,7.6,45.0,,9.0,03rd Nov 09
171,37171,Band Hero,Misc,X360,E10+,0.79,8.3,7.6,52.0,,30.0,03rd Nov 09
172,24075,Castlevania: Order of Ecclesia,Platform,DS,T,0.36,8.3,8.2,46.0,9.2,111.0,21st Oct 08
173,33505,Dragon Age: Origins,Role-Playing,X360,M,2.56,8.3,8.5,68.0,,725.0,03rd Nov 09
174,6979,Endless Ocean,Adventure,Wii,E,1.06,8.3,6.8,42.0,,61.0,21st Jan 08
175,13869,Fallout 3,Role-Playing,PC,M,0.98,8.3,9.0,48.0,,3450.0,28th Oct 08
176,35368,Ghostbusters: The Video Game,Action,PS3,T,0.84,8.3,7.8,74.0,,96.0,16th Jun 09
177,35367,Ghostbusters: The Video Game,Action,X360,T,0.63,8.3,7.7,53.0,,125.0,16th Jun 09
178,71502,GRID 2,Misc,X360,E,0.27,8.3,,51.0,,156.0,28th May 13
