,Game,Console,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,ID,Genre
160,Heavy Rain Chronicles - Chapter 1: The Taxidermist    Read the review,PSN,Sony Computer Entertainment,Quantic Dream,7.0,7.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Apr 10,N/A,41974,Adventure
161,Legends of WrestleMania    Read the review,X360,THQ,Yuke's,7.0,N/A,N/A,N/A,0.39m,0.20m,0.15m,N/A,0.04m,24th Mar 09,N/A,29091,Fighting
162,Puzzle Bots    Read the review,PC,Wadjet Eye Games,Wadjet Eye Games,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10th May 10,N/A,45284,Adventure
163,Resident Evil: Deadly Silence    Read the review,DS,Capcom,Capcom,7.0,6.7,N/A,N/A,0.26m,0.11m,0.02m,0.11m,0.01m,07th Feb 06,N/A,1889,Action
164,Resident Evil: The Umbrella Chronicles    Read the review,Wii,Capcom,Cavia Inc.,7.0,7.5,8.0,1.30m,N/A,N/A,N/A,N/A,N/A,13th Nov 07,N/A,6971,Shooter
165,Secret Agent Clank(US sales)    Read the review,PSP,Sony Computer Entertainment,High Impact Games,7.0,7.2,N/A,N/A,0.55m,0.33m,0.22m,N/A,N/A,17th Jun 08,N/A,17064,Platform
166,Shattered Horizon    Read the review,PC,Futuremark Games Studio,Futuremark Games Studio,7.0,6.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,04th Nov 09,N/A,40309,Shooter
167,Shaun White Snowboarding    Read the review,PS3,Ubisoft,Ubisoft Montreal,7.0,6.0,N/A,N/A,0.66m,0.31m,0.24m,0.01m,0.10m,16th Nov 08,N/A,23929,Sports
168,Shaun White Snowboarding    Read the review,X360,Ubisoft,Ubisoft Montreal,7.0,6.2,N/A,N/A,0.81m,0.48m,0.25m,0.00m,0.08m,16th Nov 08,N/A,23930,Sports
169,Transformers: Revenge of the Fallen    Read the review,PS3,Activision,Luxoflux Corp.,7.0,6.5,N/A,N/A,0.70m,0.28m,0.30m,N/A,0.12m,23rd Jun 09,N/A,31407,Action
170,Transformers: Revenge of the Fallen    Read the review,X360,Activision,Luxoflux Corp.,7.0,6.1,N/A,N/A,0.63m,0.34m,0.23m,N/A,0.06m,23rd Jun 09,N/A,31408,Action
171,Wallace & Gromit's Grand Adventures Episode 1: Fright of the Bumblebees    Read the review,PC,Telltale Games,Telltale Games,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24th Mar 09,N/A,33070,Adventure
172,Fragile Dreams: Farewell Ruins of the Moon    Read the review,Wii,Xseed Games,Tri-Crescendo,6.9,6.7,N/A,N/A,0.37m,0.16m,0.12m,0.06m,0.03m,16th Mar 10,N/A,31139,Role-Playing
173,Ice Age: Dawn of the Dinosaurs    Read the review,PC,Activision,Eurocom Entertainment Software,6.9,6.8,N/A,N/A,0.02m,0.02m,0.00m,N/A,0.00m,30th Jun 09,N/A,33471,Platform
174,Ice Age: Dawn of the Dinosaurs    Read the review,PS2,Activision,Eurocom Entertainment Software,6.9,N/A,N/A,N/A,0.17m,0.08m,0.07m,N/A,0.02m,30th Jun 09,N/A,33467,Platform
175,Ice Age: Dawn of the Dinosaurs    Read the review,PS3,Activision,Eurocom Entertainment Software,6.9,6.6,N/A,N/A,0.19m,0.13m,0.04m,N/A,0.02m,30th Jun 09,N/A,33469,Platform
176,Ice Age: Dawn of the Dinosaurs    Read the review,Wii,Activision,Eurocom Entertainment Software,6.9,7.2,N/A,N/A,0.28m,0.11m,0.14m,N/A,0.03m,30th Jun 09,N/A,36107,Platform
177,Ice Age: Dawn of the Dinosaurs    Read the review,X360,Activision,Eurocom Entertainment Software,6.9,6.7,N/A,N/A,0.12m,0.09m,0.03m,N/A,0.01m,30th Jun 09,N/A,33470,Platform
178,Link's Crossbow Training    Read the review,Wii,Nintendo,Nintendo EAD,6.9,6.9,N/A,5.79m,N/A,N/A,N/A,N/A,N/A,19th Nov 07,N/A,13012,Shooter
179,Reel Deal Slots: Blackbeard's Revenge    Read the review,PC,Phantom EFX,Phantom EFX,6.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,02nd Sep 08,N/A,32370,Misc
180,A-Men    Read the review,PSV,Bloober Team,Bloober Team,6.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13th Aug 13,15th Jul 19,70399,Action
181,Animal Crossing: City Folk    Read the review,Wii,Nintendo,Nintendo EAD,6.8,7.1,8.8,4.32m,N/A,N/A,N/A,N/A,N/A,16th Nov 08,N/A,24660,Simulation
182,Armored Core: For Answer    Read the review,PS3,Ubisoft,From Software,6.8,6.1,N/A,N/A,0.19m,0.06m,0.02m,0.10m,0.01m,16th Sep 08,N/A,27254,Simulation
183,Fallout 3: Operation Anchorage    Read the review,PC,Bethesda Softworks,Bethesda Game Studios,6.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27th Jan 09,N/A,31793,Role-Playing
184,Fallout 3: Operation Anchorage    Read the review,XBL,Bethesda Softworks,Bethesda Game Studios,6.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27th Jan 09,N/A,31794,Role-Playing
185,Final Fantasy Crystal Chronicles: The Crystal Bearers    Read the review,Wii,Square Enix,Square Enix,6.8,6.7,N/A,N/A,0.39m,0.21m,0.08m,0.08m,0.03m,26th Dec 09,N/A,7138,Adventure
186,Kinect: Disneyland Adventures    Read the review,X360,Microsoft Studios,Frontier Developments,6.8,8.5,N/A,N/A,2.41m,1.73m,0.43m,0.02m,0.23m,15th Nov 11,29th Sep 18,51748,Action-Adventure
187,LEGO Rock Band    Read the review,Wii,Warner Bros. Interactive,TT Games / Harmonix Music Systems,6.8,6.8,N/A,N/A,0.70m,0.41m,0.22m,N/A,0.06m,03rd Nov 09,N/A,33694,Misc
188,Miami Law    Read the review,DS,Hudson Entertainment,Gaijinworks,6.8,5.5,N/A,N/A,0.10m,0.09m,0.00m,N/A,0.01m,09th Jun 09,N/A,32551,Adventure
189,MotorStorm: Apocalypse    Read the review,PS3,Sony Computer Entertainment,Evolution Studios,6.8,7.6,N/A,N/A,0.49m,0.21m,0.20m,N/A,0.08m,03rd May 11,N/A,45479,Racing
190,NBA 2K10    Read the review,Wii,2K Sports,Visual Concepts,6.8,5.1,N/A,N/A,0.37m,0.34m,0.00m,N/A,0.03m,09th Nov 09,N/A,35480,Sports
191,Route 66    Read the review,PSN,Gamehastra,GameShastra,6.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28th Jan 10,N/A,42953,Adventure
192,Tropico 5    Read the review,PC,Kalypso Media,Haemimont Games,6.8,N/A,N/A,N/A,0.14m,0.04m,0.09m,N/A,0.01m,01st Jan 15,20th Aug 18,78529,Simulation
193,Wallace & Gromit's Grand Adventures Episode 2: The Last Resort    Read the review,PC,Telltale Games,Telltale Games,6.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,06th May 09,N/A,34769,Adventure
194,Wallace & Gromit's Grand Adventures Episode 2: The Last Resort    Read the review,XBL,Telltale Games,Telltale Games,6.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,04th Nov 09,N/A,34770,Adventure
195,Worms    Read the review,PSN,Sony Computer Entertainment,Team17 Software,6.8,N/A,N/A,N/A,0.02m,N/A,0.02m,N/A,0.00m,26th Mar 09,N/A,33168,Strategy
196,Dynasty Warriors: Gundam 2    Read the review,PS2,Namco Bandai,Omega Force,6.7,4.9,N/A,N/A,0.34m,0.04m,0.03m,0.25m,0.01m,21st Apr 09,N/A,28518,Action
197,Galaga Legions    Read the review,XBL,Namco Bandai,Namco Bandai Games,6.7,7.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20th Aug 08,N/A,24674,Shooter
198,SingStar Queen    Read the review,PS3,Sony Computer Entertainment,SCEE London Studio,6.7,6.8,N/A,N/A,0.44m,0.11m,0.25m,N/A,0.07m,04th Aug 09,N/A,31310,Misc
199,The Eye of Judgment    Read the review,PS3,Sony Computer Entertainment,SCE Japan Studio,6.7,7.5,N/A,N/A,0.34m,0.28m,0.00m,0.02m,0.03m,24th Oct 07,16th Sep 18,12350,Strategy
