,ID,Game,Genre,Console,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update
137,74331,Trials Evolution    Read the review,Racing,XBL,Microsoft Studios,RedLynx,8.8,,,1.00m,,,,,,18th Apr 12,08th Oct 18
138,24656,Wii Sports Resort    Read the review,Sports,Wii,Nintendo,Nintendo EAD,8.8,8.0,8.8,33.14m,,,,,,26th Jul 09,
139,7706,Advance Wars: Days of Ruin    Read the review,Strategy,DS,Nintendo,Intelligent Systems,8.7,8.4,,,0.61m,0.43m,0.13m,,0.05m,21st Jan 08,
140,29384,Age of Empires: Mythologies    Read the review,Strategy,DS,THQ,Griptonite,8.7,8.2,,,0.21m,0.16m,0.03m,,0.02m,24th Nov 08,
141,27284,Art Style: ORBIENT    Read the review,Puzzle,WW,Nintendo,skip Ltd.,8.7,7.8,,,,,,,,29th Sep 08,
142,25237,Braid    Read the review,Platform,PC,Number None,Number None Inc.,8.7,8.8,,1.01m,,,,,,10th Apr 09,
143,37017,Braid    Read the review,Platform,PSN,Number None,Hothead Games,8.7,9.3,,,,,,,,12th Nov 09,
144,25236,Braid    Read the review,Platform,XBL,Microsoft,Number None Inc.,8.7,9.4,,,,,,,,06th Aug 08,
145,21991,Buzz! Quiz TV    Read the review,Misc,PS3,Sony Computer Entertainment,Relentless Software,8.7,7.9,,,0.88m,0.28m,0.47m,,0.13m,23rd Sep 08,
146,31932,Dead Space Extraction    Read the review,Shooter,Wii,Electronic Arts,Visceral Games,8.7,8.2,,,0.47m,0.32m,0.10m,0.01m,0.04m,28th Sep 09,
147,31689,Demon's Souls    Read the review,Role-Playing,PS3,Atlus,From Software,8.7,9.1,9.5,1.00m,,,,,,06th Oct 09,
148,3316,Final Fantasy Tactics: The War of the Lions    Read the review,Role-Playing,PSP,Square Enix,Square Enix,8.7,8.9,,1.00m,,,,,,09th Oct 07,
149,1209,Lumines: Puzzle Fusion    Read the review,Puzzle,PSP,Ubisoft,Q Entertainment,8.7,9.1,,0.55m,,,,,,22nd Mar 05,
150,22383,MadWorld    Read the review,Action,Wii,Sega,PlatinumGames,8.7,8.1,8.1,,0.78m,0.45m,0.24m,0.02m,0.07m,10th Mar 09,
151,6968,Mario Kart Wii    Read the review,Racing,Wii,Nintendo,Nintendo EAD,8.7,8.2,9.1,37.38m,,,,,,27th Apr 08,11th Apr 18
152,16067,Mass Effect    Read the review,Role-Playing,PC,Electronic Arts,BioWare / Demiurge Studios,8.7,9.1,,,0.67m,,0.59m,,0.07m,28th May 08,
153,22061,MotorStorm: Pacific Rift    Read the review,Racing,PS3,Sony Computer Entertainment,Evolution Studios,8.7,8.0,8.7,1.00m,,,,,,28th Oct 08,
154,17673,PixelJunk Eden    Read the review,Platform,PSN,Sony Computer Entertainment,Q-Games,8.7,7.9,,,,,,,,31st Jul 08,
155,15255,Resistance 2    Read the review,Shooter,PS3,Sony Computer Entertainment,Insomniac Games,8.7,8.5,8.7,,2.47m,1.15m,0.84m,0.10m,0.38m,04th Nov 08,
156,44054,Sam & Max: The Devil's Playhouse - Episode 2: The Tomb of Sammun-Mak    Read the review,Adventure,PC,Telltale Games,Telltale Games,8.7,,,,,,,,,18th May 10,
157,44058,Sam & Max: The Devil's Playhouse - Episode 2: The Tomb of Sammun-Mak    Read the review,Adventure,PSN,Telltale Games,Telltale Games,8.7,,,,,,,,,18th May 10,
158,23722,Sid Meier's Civilization Revolution    Read the review,Strategy,PS3,2K Games,Firaxis Games,8.7,8.4,,,0.78m,0.49m,0.19m,0.01m,0.09m,08th Jul 08,
159,30097,Suikoden    Read the review,Role-Playing,PSN,Konami,Konami,8.7,,,,,,,,,23rd Dec 08,
160,12778,Uncharted: Drake's Fortune    Read the review,Action,PS3,Sony Computer Entertainment,Naughty Dog,8.7,8.7,8.6,,4.97m,2.32m,1.73m,0.12m,0.80m,16th Nov 07,
161,85627,Uncharted: Drake's Fortune Remastered    Read the review,Action,PS4,Sony Interactive Entertainment,Naughty Dog,8.7,,,,,,,,,18th Nov 16,24th Sep 18
162,13325,Unreal Tournament III    Read the review,Shooter,PS3,Midway Games,Epic Games,8.7,8.6,,,0.67m,0.33m,0.24m,,0.10m,11th Dec 07,
