,Genre,Console,Rating,Global_Sales,Critic_Count,User_Count,Release Date,Score
178,Role-Playing,PS3,T,520.0,51.0,150.0,7,8.0
179,Racing,X360,E,880.0,43.0,65.0,9,8.3
180,Racing,X360,E,720.0,61.0,54.0,10,8.35
181,Role-Playing,PS3,M,3940.0,57.0,910.0,7,8.5
182,Role-Playing,X360,M,4930.0,84.0,1655.0,7,8.6
183,Action,PS3,T,2930.0,98.0,1172.0,8,8.666666666666666
184,Racing,PSV,E,60.0,39.0,123.0,11,8.2
185,Role-Playing,DS,E10+,190.0,36.0,19.0,8,7.699999999999999
186,Role-Playing,PS3,T,720.0,45.0,155.0,9,8.6
187,Fighting,Wii,E10+,350.0,34.0,21.0,8,7.699999999999999
188,Adventure,PS3,M,740.0,53.0,50.0,8,7.3
189,Adventure,X360,M,790.0,72.0,60.0,8,7.199999999999999
190,Shooter,Wii,M,850.0,65.0,95.0,8,8.05
191,Simulation,X360,E,1620.0,65.0,131.0,5,8.3
192,Role-Playing,DS,E10+,750.0,47.0,106.0,7,8.1
193,Sports,PSP,E,210.0,27.0,17.0,9,8.05
194,Shooter,PSP,T,890.0,56.0,80.0,5,7.949999999999999
195,Sports,PS3,T,840.0,50.0,53.0,8,8.149999999999999
196,Sports,X360,T,1090.0,70.0,72.0,8,8.149999999999999
197,Role-Playing,DS,E10+,260.0,24.0,37.0,8,7.900000000000001
198,Puzzle,Wii,E10+,2890.0,61.0,179.0,6,8.149999999999999
199,Racing,PSV,E10+,350.0,63.0,191.0,11,8.1
200,Racing,Wii,E,530.0,57.0,83.0,5,7.5
201,Racing,X360,E,490.0,42.0,56.0,11,8.25
202,Racing,X360,E,300.0,29.0,33.0,12,8.0
203,Shooter,PS3,M,880.0,47.0,91.0,8,7.849999999999999
204,Shooter,X360,M,600.0,77.0,94.0,8,7.8
205,Racing,PS3,E,1050.0,32.0,32.0,6,8.15
206,Racing,X360,E,870.0,59.0,94.0,6,8.2
207,Misc,PS3,T,900.0,53.0,49.0,8,8.25
208,Misc,Wii,T,760.0,22.0,19.0,8,8.3
209,Misc,X360,T,1060.0,72.0,42.0,8,8.2
210,Role-Playing,DS,E10+,1620.0,44.0,50.0,7,8.033333333333333
211,Misc,DS,E10+,370.0,30.0,7.0,8,7.650000000000001
212,Racing,PSP,T,1020.0,58.0,39.0,8,7.849999999999999
213,Strategy,DS,E,130.0,40.0,21.0,7,8.0
214,Adventure,DS,T,920.0,53.0,203.0,4,8.05
215,Puzzle,DS,E,80.0,17.0,5.0,8,7.7
216,Shooter,Wii,T,620.0,73.0,178.0,9,8.1
217,Role-Playing,PS3,T,730.0,42.0,136.0,9,7.899999999999999
218,Role-Playing,X360,T,330.0,43.0,96.0,9,7.7
219,Role-Playing,DS,E,530.0,26.0,52.0,6,8.05
220,Sports,PS3,T,370.0,31.0,57.0,6,8.0
221,Sports,Wii,E,22700.0,63.0,146.0,7,7.95
222,Fighting,Wii,T,830.0,18.0,18.0,7,8.1
223,Adventure,DS,T,990.0,48.0,84.0,7,7.95
224,Action,XOne,M,1570.0,69.0,908.0,12,7.900000000000001
225,Role-Playing,DS,E10+,470.0,37.0,21.0,8,7.800000000000001
226,Fighting,PS2,T,90.0,12.0,17.0,6,7.900000000000001
227,Action,PSP,M,3180.0,79.0,565.0,7,8.766666666666667
228,Misc,Wii,E10+,2030.0,24.0,29.0,7,7.5
229,Role-Playing,X360,T,790.0,56.0,150.0,8,7.733333333333333
230,Action,PSP,M,110.0,18.0,18.0,8,7.7
231,Action,Wii,M,210.0,35.0,24.0,8,7.45
232,Role-Playing,DS,E10+,240.0,29.0,13.0,8,7.449999999999999
233,Action,PS3,M,940.0,61.0,162.0,8,7.849999999999999
234,Action,X360,M,970.0,88.0,268.0,8,8.15
235,Simulation,Wii,E10+,190.0,24.0,15.0,8,7.849999999999999
236,Puzzle,PSP,E,90.0,28.0,13.0,7,7.599999999999999
237,Action,PS2,M,70.0,48.0,165.0,5,7.400000000000001
238,Misc,PS3,T,350.0,34.0,9.0,8,7.599999999999999
239,Misc,Wii,T,580.0,17.0,6.0,8,7.650000000000001
240,Misc,X360,T,420.0,56.0,18.0,8,7.449999999999999
241,Action,PSP,E10+,70.0,19.0,8.0,8,7.400000000000001
242,Action,PC,M,120.0,33.0,838.0,9,8.0
243,Action,PS3,M,1750.0,66.0,291.0,9,8.05
244,Action,X360,M,1600.0,74.0,267.0,9,7.900000000000001
245,Puzzle,Wii,E,160.0,16.0,6.0,8,7.599999999999999
