,Title,Year,Genre,Rating,Director,Votes
119,Shenmue,1999.0,"['Action', 'Adventure', 'Crime']",9.1,Keiji Okayasu,1144
120,StarCraft,1998.0,"['Action', 'Adventure', 'Sci-Fi']",9.1,Chris Metzen,5108
121,Super Metroid,1994.0,"['Action', 'Adventure', 'Sci-Fi']",9.1,Yoshio Sakamoto,1882
122,GoldenEye 007,1997.0,"['Action', 'Adventure', 'Thriller']",9.1,Martin Hollis,5385
123,Super Mario 64,1996.0,"['Action', 'Adventure', 'Comedy']",9.1,Shigeru Miyamoto,5564
124,Silent Hill,1999.0,"['Action', 'Adventure', 'Drama']",9.1,Keiichiro Toyama,5384
125,Biohazard 2,1998.0,"['Action', 'Adventure', 'Horror']",9.1,Hideki Kamiya,5614
126,The Curse of Monkey Island,1997.0,"['Adventure', 'Comedy', 'Fantasy']",9.1,Jonathan Ackley,2590
127,Gabriel Knight: Sins of the Fathers,1993.0,"['Adventure', 'Drama', 'Horror']",9.1,Jane Jensen,662
128,Hades,2018.0,"['Action', 'Adventure', 'Fantasy']",9.0,Logan Cunningham,833
129,Astro Bot: Rescue Mission,2018.0,['Sci-Fi'],9.0,Nicolas Doucet,159
130,To Trust an Incubus,2018.0,['Fantasy'],9.0,Yamila Abraham,6
131,Winx Club: Quest for the Codex,2006.0,"['Animation', 'Action', 'Adventure']",9.0,Sarah Felbinger,7
132,Angband,1993.0,"['Adventure', 'Fantasy']",9.0,,6
133,God of War Collection,2009.0,"['Action', 'Adventure', 'Drama']",9.0,David Jaffe,358
134,Blackwell Epiphany,2014.0,['Adventure'],9.0,Abe Goldfarb,135
135,Super Mario Odyssey,2017.0,"['Animation', 'Action', 'Adventure']",9.0,Kenta Motokura,3327
136,Assassin's Creed: The Ezio Collection,2016.0,"['Action', 'Adventure', 'Fantasy']",9.0,Roger Craig Smith,548
137,Fairy Fencer F: Advent Dark Force,2016.0,"['Action', 'Adventure', 'Fantasy']",9.0,Takatsugu Awazu,98
138,Super Smash Bros. Ultimate,2018.0,"['Animation', 'Action', 'Adventure']",9.0,Masahiro Sakurai,2413
